ENG_NAME,year,ndvi_crop,rain_gs,drought_class,drought_pixel_rate,cropland_pct,county_id,post_2010,event_time,drought_treated,drought_post,high_agriculture,drought_post_high_agri,ndvi_baseline,high_ndvi,drought_post_high_ndvi,high_elevation,drought_post_high_elev,pop_density_2000,high_density,drought_post_high_density
Jinping,2009,0.547547543854367,934.5984965175638,,,0.6768634021617014,28,0,-1,0,0,0,0,0.5588215797942088,0,0,0,0,131.49655604257984,0,0
Kaili,2009,0.534641498396665,824.1231466408668,,,0.1295503872491013,30,0,-1,0,0,0,0,0.5500083109267275,0,0,0,0,329.24961715160794,1,0
Leishan,2009,0.0,875.250462267315,,,0.0,32,0,-1,1,0,0,0,0.0,0,0,0,0,114.84823625922888,0,0
Liping,2009,0.5349229748238297,995.254096841938,,,0.0699572414605866,34,0,-1,0,0,0,0,0.5486270520983627,0,0,0,0,108.08376491781132,0,0
Majiang,2009,0.5373108156028367,827.2498332532736,,,0.2342795368308867,38,0,-1,1,0,0,0,0.5583096631205673,0,0,0,0,174.85428809325563,0,0
Rongjiang,2009,0.555755790960452,869.6924776334704,,,0.1059165205740615,52,0,-1,1,0,0,0,0.5657995762711865,1,0,0,0,96.50180940892642,0,0
Sansui,2009,0.5290895833333333,784.4704939866978,,,0.024231712184275,54,0,-1,0,0,0,0,0.5029312499999999,0,0,0,0,193.05019305019303,0,0
Shibing,2009,0.5283221590909091,785.7511686166473,,,0.1800570020027731,55,0,-1,0,0,0,0,0.5526907024793388,0,0,0,0,97.15025906735752,0,0
Taijiang,2009,0.0,825.4434577190796,,,0.0,61,0,-1,0,0,0,0,0.0,0,0,0,0,132.66998341625208,0,0
Tianzhu,2009,0.5359439444109975,854.4931530035991,,,1.2004976853149187,62,0,-1,0,0,0,0,0.544185879490267,0,0,0,0,172.64879600181737,0,0
Zhenyuan,2009,0.4775833333333333,769.2448138198304,,,0.0132085821597119,84,0,-1,0,0,0,0,0.5126375,0,0,0,0,127.79552715654953,0,0
Duyun,2009,0.5049009893891596,859.3068657912103,,,0.7528896069997555,14,0,-1,1,0,0,0,0.5303353348150271,0,0,0,0,202.2867194371152,0,0
Dushan,2009,0.4982707004104501,876.0573320819069,,,2.268073886546551,13,0,-1,1,0,0,0,0.5094219291331896,0,0,0,0,139.05930470347647,0,0
Fuquan,2009,0.5247359129623903,798.2763121347019,,,1.9000415442423029,16,0,-1,1,0,0,0,0.5462666155513287,0,0,0,0,177.72511848341233,0,0
Guiding,2009,0.5109163560497921,794.5914799296252,,,1.9846145338437,19,0,-1,1,0,0,0,0.5430811791514438,0,0,0,0,165.64417177914112,0,0
Huishui,2009,0.4698414863118144,827.9716670200311,,,3.2161450122685062,25,0,-1,1,0,1,0,0.5055148811268686,0,0,0,0,165.9919028340081,0,0
Libo,2009,0.5624960060441196,846.2777278249002,,,0.3420179137960863,33,0,-1,1,0,0,0,0.5719060132083291,1,0,0,0,67.34006734006734,0,0
Longli,2009,0.5290643015356192,780.6067516578132,,,1.561627333953895,36,0,-1,1,0,0,0,0.5547468480049857,0,0,0,0,131.49243918474687,0,0
Luodian,2009,0.5127897147576773,868.1039060506558,,,1.42830075791035,37,0,-1,1,0,0,0,0.5307700492502923,0,0,0,0,99.56853634251576,0,0
Pingtang,2009,0.5270310971701442,865.0744903525718,,,1.3923893833101004,44,0,-1,1,0,0,0,0.5362436109471612,0,0,0,0,102.65486725663716,0,0
Sandushuizu,2009,0.5465119859307356,870.883959363792,,,0.9778627380074192,53,0,-1,1,0,0,0,0.5512158499278494,0,0,0,0,130.25210084033614,0,0
Wengan,2009,0.5247857758814318,790.7336741791944,,,0.2552088108325727,67,0,-1,0,0,0,0,0.539987715397837,0,0,0,0,217.83181357649443,0,0
Changshun,2009,0.5067768327484864,826.1586213602211,,,5.319764488672762,6,0,-1,1,0,1,0,0.5236346270032257,0,0,0,0,152.96367112810708,0,0
