ENG_NAME,year,ndvi_crop,rain_gs,drought_class,drought_pixel_rate,cropland_pct,county_id,post_2010,event_time,drought_treated,drought_post,high_agriculture,drought_post_high_agri,ndvi_baseline,high_ndvi,drought_post_high_ndvi,high_elevation,drought_post_high_elev,pop_density_2000,drought_post_high_density,net_migration,net_migration_per_1000,births,deaths,births_source,deaths_source,high_elev,high_density,urban_core,pop_density,agri_employ_ratio,agri_gdp_ratio,gdp_pc,income_rural,elev_mean,agri_machinery_power,rural_investment,CHN_NAME,high_pop_density,high_agri_employ_ratio,high_agri_gdp_ratio,high_gdp_pc,high_income_rural,high_elev_mean
Huangping,2008,0.5473595405155381,924.123758306861,,,1.1529161098511465,22,0,-2,0,0,0,0,0.5331299919251149,0,0,0,0,197.84172661870505,0,,-2.88,4680.0,1800.0,real,real,0,0,False,215.8273381294964,0.9315650702451694,0.4301416879345243,3153.0,2344.0,894.3895322640849,11.4,14013.0,黄平县,1,1,1,0,0,0
Jianhe,2008,0.5717020833333333,903.9121660869772,,,0.0114101617558225,27,0,-2,0,0,0,0,0.5425614583333334,0,0,0,0,98.03921568627452,0,,-32.0,3250.0,1250.0,real,real,0,0,False,114.88970588235294,0.6291336529686979,0.3797540903831388,3706.0,2378.0,819.8286879358895,7.9,58420.0,剑河县,0,1,1,0,0,0
Jinping,2008,0.5700956157340505,900.7789389920604,,,0.6768634021617014,28,0,-2,0,0,0,0,0.5588215797942088,0,0,0,0,131.49655604257984,0,,-1.76,2860.0,1100.0,real,real,0,0,False,137.75829680651222,0.4864384246047539,0.2107060736379292,4709.0,2268.0,621.1858835990292,12.2,17694.0,锦屏县,0,0,0,0,0,0
Kaili,2008,0.56537512345679,1064.1012009399417,,,0.1295503872491013,30,0,-2,0,0,0,0,0.5500083109267275,0,0,0,0,329.24961715160794,0,,6.16,6240.0,2400.0,real,real,0,1,True,367.5344563552833,0.4630220011210762,0.0917333849423812,14062.0,3175.0,854.5428967462259,18.6,306473.0,凯里市,1,0,0,1,0,0
Leishan,2008,0.0,1114.28031480354,,,0.0,32,0,-2,1,0,0,0,0.0,0,0,0,0,114.84823625922888,0,,-11.28,2080.0,800.0,real,real,0,0,False,131.25512715340443,0.5845758022671246,0.3322735355930377,3902.0,2257.0,1165.3277085364512,11.9,26948.0,雷山县,0,1,1,0,0,1
Liping,2008,0.5623311293728959,1073.0276601874746,,,0.0699572414605866,34,0,-2,0,0,0,0,0.5486270520983627,0,0,0,0,108.08376491781132,0,,-4.08,6630.0,2550.0,real,real,0,0,False,114.83900022517452,0.6017690244441987,0.3408314934437462,3672.0,2347.0,697.8561308568529,20.0,150708.0,黎平县,0,1,1,0,0,0
Majiang,2008,0.5793085106382978,1123.8854233160166,,,0.2342795368308867,38,0,-2,1,0,0,0,0.5583096631205673,0,0,0,0,174.85428809325563,0,,-31.84,2990.0,1150.0,real,real,0,0,False,188.21603927986908,0.6552001205242807,0.3415378724218991,4152.0,2377.0,984.9345690241216,10.4,33017.0,麻江县,0,1,1,0,0,0
Rongjiang,2008,0.5758433615819211,1106.1162785028764,,,0.1059165205740615,52,0,-2,1,0,0,0,0.5657995762711865,1,0,0,0,96.50180940892642,0,,-2.72,4420.0,1700.0,real,real,0,0,False,102.53317249698432,0.6899845884265416,0.4749449360788217,4202.0,2350.0,704.0477090802241,8.4,33652.0,榕江县,0,1,1,0,0,0
Sansui,2008,0.4767729166666666,821.0726351361413,,,0.024231712184275,54,0,-2,0,0,0,0,0.5029312499999999,0,0,0,0,193.05019305019303,0,,-1.76,2860.0,1100.0,real,real,0,0,False,212.3552123552124,0.4976645323816521,0.2763486014703183,4307.0,2428.0,748.7242194533794,5.6,4487.0,三穗县,0,0,1,0,0,0
Shibing,2008,0.5770592458677686,823.5726874321725,,,0.1800570020027731,55,0,-2,0,0,0,0,0.5526907024793388,0,0,0,0,97.15025906735752,0,,-21.28,2080.0,800.0,real,real,0,0,False,103.62694300518136,0.7409924109748979,0.2726901405500513,5956.0,2622.0,875.5670288711707,1.2,9757.0,施秉县,0,1,1,0,0,0
