年份,省份,城市,区县,区县代码,行政区域土地面积_平方公里,乡及镇个数_个,乡个数_个,镇个数_个,街道办事处个数_个,村民委员会个数_个,年末总户数_户,乡村户数_户,年末总人口_万人,乡村人口_万人,户籍人口数_万人,年末单位从业人员_人,城镇单位在岗职工人数_人,乡村从业人员数_人,农林牧渔业从业人员数_人,年末第二产业单位从业人员_人,年末第三产业单位从业人员_人,农业机械总动力_万千瓦特,固定电话用户_户,移动电话用户数_户,宽带接入用户数_户,地区生产总值_万元,第一产业增加值_万元,第二产业增加值_万元,工业增加值_万元,第三产业增加值_万元,农业增加值_万元,牧业增加值_万元,人均地区生产总值_元/人,城镇单位在岗职工平均工资_元,城镇居民人均可支配收入_元,农村居民人均可支配收入_元,地方财政一般预算收入_万元,各项税收_万元,地方财政一般预算支出_万元,城乡居民储蓄存款余额_万元,年末金融机构各项贷款余额_万元,出口额_美元,实际利用外资金额_美元,农作物总播种面积_千公顷,常用耕地面积_公顷,机收面积_公顷,设施农业占地面积_公顷,农用机械总动力_千万瓦,粮食总产量_吨,棉花产量_吨,油料产量_吨,肉类总产量_吨,农林牧渔业总产值_万元,规模以上工业企业数_个,规模以上工业总产值_万元,城镇固定资产投资完成额_万元,全社会固定资产投资_万元,社会消费品零售总额_万元,房地产开发投资_亿元,普通小学学校数_个,普通中学学校数_个,普通小学专任教师数_人,普通中学专任教师数_人,普通小学在校生数_人,普通中学在校学生数_人,中等职业教育学校在校学生数_人,医院、卫生院床位数_床,医院和卫生院卫生人员数_卫生技术人员_人,医院和卫生院卫生人员数_执业医师_人,各种社会福利收养性单位数_个,各种社会福利收养性单位床位数_床,全社会用电量_万千瓦时,城乡居民生活用电量_万千瓦时,废气中氮氧化物排放量_吨,废气中烟尘排放量_吨,工业废气中二氧化硫排放量_吨,艺术表演场馆数_剧场、影剧院_个,公共图书馆总藏量_千册,体育场馆机构数_个
2020,贵州省,遵义市,赤水市,520381,1852,14,3,11,3,,,,25,,31.9,,,137100,,,,,45673,,,1061700,215900,368100,234500,477700,,,42906,,36215,14831,46723,,363160,1280187,1746005,,,,,,110,,,,858,,226800,60,,,,,,42,20,1405,,21623,16592,,2434,,,19,1750,,,,,,,,
2021,贵州省,遵义市,赤水市,520381,1852,14,3,11,3,,,,25,,31.8,,,136277,,,,,44320,,,1179734,230941,433616,316900,515177,,,47713,,39608,16424,48586,,344092,1425803,1962569,,,,,,105,,,,995,,243000,73,,,,,,38,20,1304,,20773,17247,,2524,,,18,1770,,,,,,,,
2022,贵州省,遵义市,赤水市,520381,1852,14,3,11,3,,,,25,,32,,,,,,,,44400,,,1193735,239498,431352,,522885,,,48336,,41549,17590,37351,,290177,1649865,2146459,,,,,,55,,,,1012,,252100,69,,,,,,34,20,1270,,20244,17632,,2625,,,18,1770,,,,,,,,
2023,贵州省,遵义市,赤水市,520381,1852,14,3,11,3,,,,,,32,,,,,,,,37547,,,1259700,251917,463989,,543794,,,,,,,42759,,282803,1835286,2410621,,,,,,38,,,,1609,,,75,,,,,,,,,,20033,17674,,2712,,,15,1353,,,,,,,,
2000,贵州省,遵义市,仁怀市,520382,1788,19,,,,379,133173,116557,56,51,56,22297,,312195,228745,,,16,19208,,,206219,65557,109503,,31159,,,3534,,,1811,13131,,21515,47244,63414,,,,27940,,,16,280696,39,10705,35518,100200,11,129160,7827,,20500,,233,26,2864,1198,81120,30024,,532,,,30,372,,,,,,,,
2001,贵州省,遵义市,仁怀市,520382,1788,19,,,,379,134798,118043,57,52,57,20333,,316193,227584,,,16,30224,,,238680,66719,135230,,36731,,,4055,,,1862,15973,,27824,58625,64581,,,,27920,,,16,246090,26,10562,37532,101200,24,184339,13660,,23600,,241,26,2856,1305,81213,33597,,450,,,30,390,,,,,,,,
2002,贵州省,遵义市,仁怀市,520382,1788,19,,,,377,135853,118571,58,52.3,57.6,370089,20000,320089,228990,,,17.7,39779,,,290839,68307,179354,,43178,,,5105,14685,,1958,17078,,32866,71725,64561,,,,26000,,,17.7,250730,32,11505,39680,106800,27,272130,17145,79684,28218,,244,28,3046,1519,80613,34693,,532,,,31,473,,,,,,,,
2003,贵州省,遵义市,仁怀市,520382,1788,17,,,,326,137378,119304,59,53,59,67000,25000,322019,227037,,,19,48211,,,347899,71377,218458,,58064,,,5790,15173,,2064,21701,,35631,80696,58778,,,,27768,,,19,254389,19,12131,42507,112600,27,332647,16196,91678,32936,0.14,224,35,3062,1727,82826,40482,,679,,,30,428,,,,,,,,
2004,贵州省,遵义市,仁怀市,520382,1788,18,,,,149,138691,121032,60,54,60,69300,23000,333200,235000,,,20,38900,,,440529,78465,289485,,72579,,,7272,17975,,2262,26835,,43316,96493,69686,,,,27768,,,20,267036,13,13534,46561,121000,27,464740,26737,87083,39490,0.67,227,37,3131,1959,86009,42052,,486,217,,30,450,,,,,,,,
2005,贵州省,遵义市,仁怀市,520382,1788,18,,,,149,154698,122289,61,55,61,25509,24000,326818,216457,,,20,43431,,,598442,83733,409682,,105027,,,9815,20490,,2496,33875,,56735,121683,108447,,,,27768,,,20,256235,19,14158,52600,128378,31,532396,91823,111010,117316,1.45,211,37,3302,2013,86502,43498,,486,217,,30,464,,,,,,,,
2006,贵州省,遵义市,仁怀市,520382,1788,18,,,,149,154698,122289,62,55,62,69700,31500,326818,216457,,,27,43431,,,733281,84018,519084,,130179,,,11962,23398,,2698,38180,,65763,152165,147819,,,,27768,,,27,220097,,13958,59008,129948,34,682323,135879,156844,124472,0.8,214,38,3436,2142,85793,41481,,486,657,,30,478,,,,,,,,
2007,贵州省,遵义市,仁怀市,520382,1788,18,,,,149,153620,127524,63,57,63,298000,26400,331923,202650,,,31,53296,,,898591,104753,628966,,164872,,,14648,27811,,3135,55306,,89299,199081,152407,,,,27770,,,31,260495,4,14712,69027,167874,38,876360,183890,212340,147649,1.25,208,39,3465,2142,82320,42336,,530,744,,19,333,,,,,,,,
2008,贵州省,遵义市,仁怀市,520382,1788,18,,,,146,164231,127620,64,55.4,63.8,88450,25700,332921,185939,,,30.3,58838,,,1157394,95467,863281,,198646,,,21315,34589,11400,3688,68835,,114254,274914,189004,,,,27760,,,30.3,274298,27,12093,37756,155529,41,1285039,245763,271561,203798,2.53,208,37,3568,2330,79222,43666,,570,708,,19,336,,,,,,,,
2009,贵州省,遵义市,仁怀市,520382,1788,18,,,,146,166730,128385,65,56,65,299150,29300,316188,177622,,,31,35500,,,1596343,97282,965926,,533135,,,29324,39902,,4103,78563,,143741,343242,240099,,,,27768,,,31,273936,24,14092,41083,166106,43,1512010,318412,291252,240001,1.23,207,37,3518,2345,76168,46019,,570,888,,19,340,,,,,,,,
2010,贵州省,遵义市,仁怀市,520382,1790,18,,,,146,166940,129146,66,57,66,299460,33700,333345,174579,,,31,58223,,,2002320,116011,1256349,1213200,629960,,,36626,42615,,4702,105019,,168511,462975,350000,,,,27768,,,31,246679,24,10411,43054,185100,54,1835003,383125,408543,317194,2.79,203,37,3486,2474,70966,46633,,650,980,,21,340,,,,,,,,
2011,贵州省,遵义市,仁怀市,520382,1788,18,,,,146,162443,129338,67,57.1,67,299580,,335340,174631,,,31,58254,412000,15270,2580241,117942,1689201,1635800,773098,,,47154,,17001,5777,161370,,242171,741803,481834,,,,27770,,,31,191522,21,13314,42984,198300,61,2636446,668421,,401571,3.9,195,37,3262,2526,64066,48344,,710,1060,596,21,350,52540,8720,,,1395,1,63,1
2012,贵州省,遵义市,仁怀市,520382,1788,18,,,,146,188533,129125,68,59,67.96,301780,,337545,170727,,,28,58360,484852,20193,3295600,139800,2228481,2164700,927336,,,60177,,,6753,231827,,327603,960878,802018,,,,,,,28,214229,21,13652,44638,227300,93,3167630,1097642,1123700,465021,9.32,105,38,3167,2786,58138,43544,,1273,873,625,21,698,52850,8850,358,2794,3754,1,6,1
2013,贵州省,遵义市,仁怀市,520382,1788,18,6,12,3,,,,69,,69.3,,,320900,,107126,133469,29,34889,527080,29977,3844631,154231,2641500,2566200,1048900,76129,70757,70067,,21676,7536,237800,200127,377300,1094900,1369100,,,,,,152,29,199100,,13981,46573,248700,101,3901626,1918269,1726000,520895,19.18,79,39,3027,2425,52310,35696,3421,1825,636,521,20,1045,57851,9031,335,2781,3439,1,170,7
2014,贵州省,遵义市,仁怀市,520382,1788,18,6,12,3,,,,55,,69.31,,,339319,,106125,133480,30,34351,613494,39432,4428700,194900,3062000,2967300,1171800,113462,72962,80471,,24283,8548,258089,215222,402661,1172784,1825460,,,,,3180,153,30,227200,,14374,47053,354090,100,4745500,2823890,2575800,726022,20.32,78,39,3064,3236,49159,50111,8715,1630,993,525,20,1655,58550,9430,298,1269,2302,1,424,1
2015,贵州省,遵义市,仁怀市,520382,1788,18,6,12,3,,,,55,,69.56,,,339329,,105120,128460,30,9680,,,5057200,263000,3521800,3412400,1272400,167571,85669,91483,,26468,9420,283130,245709,510989,1301628,2339613,,,,,3180,153,30,234449,,15195,47356,263018,100,5263900,3446230,3446200,817320,,83,37,3011,,47235,49409,5472,1650,,,20,2135,,,,,,,,
2016,贵州省,遵义市,仁怀市,520382,1788,15,1,14,5,,,,62,,70.98,,,339530,,116220,133450,32,9650,,,5608283,263483,3871200,3745900,1473600,169380,83465,100733,,28681,10240,341332,293167,557588,1438727,2339616,,,,,3180,925,32,233800,,15642,43071,271256,77,5966300,2420690,2420700,927659,,84,36,3003,,48142,44917,4544,2040,,,20,2335,,,,,,,,
2017,贵州省,遵义市,仁怀市,520382,1788,15,1,14,5,,,,64,,71.55,,,340548,,116250,133620,32,36204,,,6407700,287000,4474500,4347600,1646200,194173,79507,114454,,31406,11244,449791,389002,615978,1708376,2700541,,,,,3200,931,32,,,12207,,297332,86,,,,1067578,,82,35,2987,,50673,41471,4580,2662,,,20,2335,,,,,,,,
2018,贵州省,遵义市,仁怀市,520382,1788,15,1,14,5,,,,64,,72.5,,,229054,,138240,131640,,34844,,,7227377,293238,5109073,4963481,1825066,,,128601,,34390,12357,672809,,780781,1950023,2898686,,,,,,950,,,,15438,,304898,89,,,,,,81,35,3066,,53656,38835,,2684,,,20,2335,,,,,,,,
2019,贵州省,遵义市,仁怀市,520382,1788,15,1,14,5,,,,65,,73.307,,,318345,,140250,132550,,31800,,,12970432,307254,9453400,9342300,3209778,,,229850,,37623,13617,722664,,836415,2412039,3250188,,,,,,,,,,10888,,321138,89,,,,,,81,34,3175,,57604,37542,,2620,,,20,2450,,,,,,,,
2020,贵州省,遵义市,仁怀市,520382,1788,15,1,14,5,,,,66,,74.38,,,301000,,,,,43400,,,13641141,347700,9465761,9350900,3827680,,,208484,,39730,14775,728235,,870516,2646126,3925903,,,,,,160,,,,6926,,362500,93,,,,,,82,34,3189,,60420,37419,,2828,,,25,2740,,,,,,,,
2021,贵州省,遵义市,仁怀市,520382,1790,15,1,14,5,,,,65,,74.9,,,289041,,,,,32458,,,15644870,364352,11208496,11092500,4072022,,,238854,,43575,16341,858250,,980660,3240683,5048721,,,,,,95,,,,7028,,380000,108,,,,,,82,34,3532,,62417,37493,,3818,,,20,3025,,,,,,,,
2022,贵州省,遵义市,仁怀市,520382,1790,15,1,14,5,,,,65,,74,,,,,,,,32170,,,17066990,390753,12595233,,4081004,,,260785,,45884,17534,992368,,1132192,3680703,6970111,,,,,,95,,,,16356,,408500,127,,,,,,82,33,3685,,63461,38288,,4364,,,12,2015,,,,,,,,
2023,贵州省,遵义市,仁怀市,520382,1790,15,1,14,5,,,,,,75,,,,,,,,29000,,,18003209,406906,13291301,,4305002,,,,,,,1151700,,1300223,,9660411,,,,,,95,,,,17875,,,150,,,,,,,,,,65884,40154,,4368,,,11,1280,,,,,,,,
2000,贵州省,安顺市,西秀区,520402,,,,,,,,,80,,,,,315100,,,,,,,,253134,51657,71452,,130025,,,3184,,4633,1753,13300,,20600,,195000,,,,29760,,,,217900,,,22108,73800,,,68482,,128400,2.01,349,40,3769,,98945,,,,,,,,,,,,,,,
2001,贵州省,安顺市,西秀区,520402,,,,,,,,,81,,,,,319800,,,,,,,,282756,52527,82732,,147497,,,3509,,,1843,15600,,26700,,233500,,,,29730,,,,223600,,,23391,76700,,,90922,,138800,2.43,307,48,3748,,101161,,,,,,,,,,,,,,,
2002,贵州省,安顺市,西秀区,520402,,,,,,,,,82,,,,,326900,,,,,,,,311897,46401,105041,,160455,,,3832,,,1958,18200,,35100,,275400,,,,28010,,,,128700,,,25846,73800,,,88311,,152500,2.09,301,49,3796,,102636,,,,,,,,,,,,,,,
2003,贵州省,安顺市,西秀区,520402,,,,,,,,,82,,,,,336000,,,,,,,,346160,51705,113445,,181010,,,4218,,,2063,20900,,35900,,322300,,,,27710,,,,200200,,,26058,78300,,,91881,,167800,2.24,279,60,3868,,96686,,,,,,,,,,,,,,,
2004,贵州省,安顺市,西秀区,520402,,,,,,,,,83,,,,,347700,,,,,,,,407247,69929,127713,,209605,,,4921,,,2260,24200,,41900,,366900,,,,27740,,,,206800,,,31700,103900,,,96148,,191700,2.38,273,55,3698,,100296,,,,,,,,,,,,,,,
2005,贵州省,安顺市,西秀区,520402,,,,,,,,,81,,,,,353800,,,,,,,,438484,74777,139533,,224174,,,5257,,7337,2466,31300,,55700,,443900,,,,27730,,,,208600,,,35665,112700,,,111978,,149600,4.18,268,57,3733,,98925,,,,,,,,,,,,,,,
2006,贵州省,安顺市,西秀区,520402,,,,,,,,,81,,,,,355400,,,,,,,,523378,85105,163921,,274352,,,6235,,8590,2644,39000,,76200,,502800,,,,27670,,,,210000,,,40791,122400,,,147455,,174600,3.89,268,56,3654,,98299,,,,,,,,,,,,,,,
2007,贵州省,安顺市,西秀区,520402,,,,,,,,,80,,,,,360200,,,,,,,,600094,92535,194401,,313158,,,7107,,11109,3130,46700,,92400,,536500,,,,27770,,,,213038,,,30331,138300,,,221091,,207800,5.99,263,56,3784,,92825,,,,,,,,,,,,,,,
2008,贵州省,安顺市,西秀区,520402,,,,,,,,,79,,,,,363100,,,,,,,,675127,95501,205165,,374461,,,8225,,12249,3668,53800,,122000,,652200,,,,27770,,,,219016,,,33684,155700,,,228687,,251100,5.58,248,50,3998,,89488,,,,,,,,,,,,,,,
2009,贵州省,安顺市,西秀区,520402,,,,,,,,,78,,,,,369200,,,,,,,,753797,113549,232684,,407564,,,9009,,13327,3933,57200,,139700,,775000,,,,27790,,,,217802,,,36643,156900,,,322105,,300200,10.62,255,50,4066,,86728,,,,,,,,,,,,,,,
2010,贵州省,安顺市,西秀区,520402,,,,,,,,,77,,,,,378100,,,,,,,,887907,113480,335764,283700,438663,,,11499,,14504,4365,69800,,194600,,,,,,27650,,,,216421,,,37982,178500,,,406318,,275901,17.19,242,49,4144,,83372,,,,,,,,,,,,,,,
2011,贵州省,安顺市,西秀区,520402,,,,,,,,,76,,87.51,,,380300,,,,,,,,1182160,123974,474903,431700,583283,,,15495,,16300,5530,89900,,250600,,,,,,27490,,,,119387,,,38035,199300,,,739191,,330567,,193,38,3500,,67508,,,,,,,,,,,,,,,
2012,贵州省,安顺市,西秀区,520402,,,,,,,,,76,,87.65,,,394500,,,,,,,,1455500,148500,560600,510700,746400,,,19148,,,6420,127400,,316200,,,,,,,,,,155007,,,40526,233000,,,1419108,1419100,383963,,231,49,4298,,75845,,,,,,,,,,,,,,,
2013,贵州省,安顺市,西秀区,520402,,,,,,,,,77,,88.34,,,383300,,,,,,,,1671400,168100,657900,586800,845400,,,21890,,20516,7313,162700,,366400,,,,,,,,,,152432,,,41867,266700,,,1853094,1853100,443655,,212,51,3997,,74188,,,,,,,,,,,,,,,
2014,贵州省,安顺市,西秀区,520402,,,,,,,,,77,,89.22,,,372826,,,,,,,,2013900,210900,756200,669500,1046800,,,26233,,22410,8129,200700,,438500,,,,,,,,,,177183,,,42602,358265,,,3330859,3330900,549648,,152,52,4417,,74798,,,,,,,,,,,,,,,
2015,贵州省,安顺市,西秀区,520402,,,,,,,,,77,,91.01,,,365980,,,,,,,,2476700,292900,845900,718200,1337900,,,32142,,24427,9007,244300,,559600,,,,,,,,,,168513,,,43089,292949,,,2487751,,613757,,145,52,4204,,76238,,,,,,,,,,,,,,,
2016,贵州省,安顺市,西秀区,520402,,,,,,,,,84,,91.8,,,380560,,,,,,,,2745100,307000,926700,780200,1511400,,,35393,,26425,9924,239100,,635400,,,,,,,,,,169520,,,41277,320813,,,3037544,,694415,,140,52,4120,,78023,,,,,,,,,,,,,,,
2017,贵州省,安顺市,西秀区,520402,,,,,,,,,85,,92,,,381608,,,,,,,,3177700,374000,1090200,925200,1713500,,,40688,,28935,10956,275118,,630552,,,,,,,,,,,,,,390659,,,,,776051,,128,51,4213,,79404,,,,,,,,,,,,,,,
2018,贵州省,安顺市,西秀区,520402,,,,,,,,,85,,93.07,,,373420,,,,,,,,3259000,400300,1057100,907400,1801600,,,41334,,31531,12052,290888,,692053,,,,,,,,,,,,,,417088,,,,,,,125,55,4364,,81364,,,,,,,,,,,,,,,
2019,贵州省,安顺市,西秀区,520402,,,,,,,,,86,,93.64,,,349679,,,,,,,,3733300,393200,1342900,1130600,1997200,,,46791,,34369,13269,262300,,810000,,,,,,,,,,,,,,412554,,,,,,,124,57,4451,,85393,,,,,,,,,,,,,,,
2020,贵州省,安顺市,西秀区,520402,,,,,,,,,87,,94.38,,,354600,,,,,,,,3940400,438700,1383100,1161900,2118600,,,45572,,35984,14304,211500,,673000,,,,,,,,,,,,,,459400,,,,,,,121,59,4473,,87651,,,,,,,,,,,,,,,
2021,贵州省,安顺市,西秀区,520402,,,,,,,,,87,,94.4,,,343798,,,,,,,,4413800,474000,1582500,1364000,2357300,,,50584,,39330,15749,234000,,636000,,,,,,,,,,,,,,496000,,,,,,,119,64,4525,,,,,,,,,,,,,,,,,
2022,贵州省,安顺市,西秀区,520402,,,,,,,,,88,,,,,,,,,,,,,4371500,493600,1430500,,2447400,,,49724,,41081,16725,234356,,648347,,,,,,,,,,,,,,518000,,,,,,,112,63,4559,,,,,,,,,,,,,,,,,
2023,贵州省,安顺市,西秀区,520402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,贵州省,安顺市,平坝区,520403,999,10,,,,192,88992,64196,34,27,34,19193,,158604,128094,,,9,17476,,,111236,21347,66431,,23458,,,3245,,,1566,3821,,8639,69577,76666,,,,18570,,,9,102575,,12937,9383,33100,20,28273,2668,,27200,,179,22,1880,,43118,15535,,724,,,7,78,,,,,,,,
2001,贵州省,安顺市,平坝区,520403,999,10,,,,192,89424,65256,34,27,34,14803,,161547,132211,,,9,22970,,,123634,21266,75173,,27195,,,3610,,,1583,4374,,12751,82445,101141,,,,18570,,,9,103223,,11687,9635,34800,20,32017,2186,,29900,0.06,151,24,1762,,42139,17824,,724,,,8,93,,,,,,,,
2002,贵州省,安顺市,平坝区,520403,999,10,,,,193,89304,65702,34,27.7,33.7,13290,12900,165600,134452,,,9.7,25267,,,135750,19039,86412,,30299,,,3922,7995,,1568,5018,,15308,100965,150639,,,,17800,,,9.7,64604,,9557,9848,31900,19,35688,2089,11201,33106,0.22,149,24,1885,,41412,19652,,778,,,8,30,,,,,,,,
2003,贵州省,安顺市,平坝区,520403,999,9,,,,193,91721,66282,34,28,34,13505,13500,167755,134581,,,13,32619,,,152803,22744,96587,,33472,,,4375,9042,,1652,5961,,17657,115928,170193,,,,17450,,,13,99603,,9774,10612,36700,23,47378,4592,12988,36768,0.08,148,25,1832,,39696,21168,,750,,,5,34,,,,,,,,
2004,贵州省,安顺市,平坝区,520403,999,10,,,,193,96409,66924,34,28,34,13390,13400,168900,134000,,,14,34961,,,172331,27868,105919,,38544,,,4893,10867,,1808,6823,,20164,134091,204101,,,,17475,,,14,102855,,11359,12948,44300,23,73365,7012,15946,40577,0.13,150,24,1834,,38772,23497,,730,,,6,43,,,,,,,,
2005,贵州省,安顺市,平坝区,520403,999,10,,,,193,98113,67242,34,28,34,13262,13300,170970,135574,,,15,34850,,,197653,32270,116684,,48699,,,5568,12930,,1976,8544,,24841,161420,222201,,,,17350,,,15,107681,,11392,15300,50708,23,80998,9211,13622,31946,0.44,150,24,1778,,37938,22607,,766,,,6,43,,,,,,,,
2006,贵州省,安顺市,平坝区,520403,999,10,,,,193,99647,71867,34,28,34,14350,14350,174248,130716,,,18,35200,,,228710,37172,135301,,56237,,,6400,15087,,2058,11519,,40707,183013,227636,,,,16977,,,18,108233,,13564,17402,57962,27,95878,29600,36528,38032,0.53,151,24,1796,,39521,22577,,739,,,6,45,,,,,,,,
2007,贵州省,安顺市,平坝区,520403,999,10,,,,193,102440,72956,34,28,34,14409,14240,179121,127850,,,20,38875,,,270354,39450,161068,,69836,,,7521,18814,,2461,15470,,51076,188596,265085,,,,16900,,,20,111161,,12662,20732,65484,30,137934,35978,55816,46004,1.26,152,24,1788,,39300,17614,,739,,,6,45,,,,,,,,
2008,贵州省,安顺市,平坝区,520403,999,10,,,,193,104459,75556,34,29,34.5,11972,11830,185729,133066,,,21.5,39432,,,322962,43907,201610,,77445,,,9388,21038,,2930,20608,,74954,224787,335767,,,,16550,,,21.5,113759,,8938,13857,71825,35,182620,34510,65760,56104,1.26,151,24,1732,,37946,20289,,822,,,6,60,,,,,,,,
2009,贵州省,安顺市,平坝区,520403,999,10,,,,193,104730,76584,35,29,35,12016,13200,187982,131711,,,23,42581,,,361116,51378,205145,,104593,,,9995,24102,,3245,25112,,86873,252842,425065,,,,16582,,,23,115845,,11589,14615,74621,42,167878,39120,75139,73124,1.3,150,24,1702,,37188,20661,,867,,,6,65,,,,,,,,
2010,贵州省,安顺市,平坝区,520403,987,10,,,,193,110610,78625,35,30,35,15895,15700,195441,138275,,,24,41179,,,421785,55180,246445,215900,120160,,,13919,26326,,3650,26182,,103801,295826,457339,,,,16624,,,24,117719,,6649,15421,86800,45,211187,93536,99530,104154,2.05,148,24,1632,,35564,21016,,964,,,6,72,,,,,,,,
2011,贵州省,安顺市,平坝区,520403,999,10,,,,193,112086,80186,36,30.1,35.5,16661,,198762,140624,,,25,35780,,,509575,61561,290660,244600,157354,,,17149,,,4635,36039,,162739,339525,461022,,,,16270,,,25,85537,,10315,15456,96000,48,573768,169804,,124561,,144,24,1714,,33950,15979,,939,,,5,60,,,,,,,,
2012,贵州省,安顺市,平坝区,520403,999,10,,,,193,115352,84978,36,30,35.59,18327,,201069,133074,,,25,36380,,,622000,73483,358021,304900,190500,,,21014,,,5391,51292,,192046,403111,590874,,,,,,,25,101826,,12052,16247,115600,90,521671,365812,455700,144491,,147,23,1743,,32728,21501,,964,,,5,60,,,,,,,,
2013,贵州省,安顺市,平坝区,520403,999,9,2,7,2,,,,36,,35.88,,,204400,,44091,37373,33,36000,,,736423,84200,422845,348800,229400,45035,33638,24774,,18590,6173,58412,42425,208670,519843,677249,,,,,6066,826,33,103097,,13134,17047,132100,94,507228,870836,659000,166603,,143,23,1690,,28753,20629,1473,1374,,,6,132,,,,,,,,
2014,贵州省,安顺市,平坝区,520403,999,9,2,7,2,,,,30,,36.44,,,206596,,48260,49729,35,36120,,,876400,105100,498047,390900,273300,68000,30524,29331,,20593,6863,80368,64806,249444,568766,840923,,,,,5804,889,35,106190,,12607,17471,173819,101,714999,1558582,1418600,206738,,139,23,1897,,28345,17003,1520,1117,,,6,139,,,,,,,,
2015,贵州省,安顺市,平坝区,520403,999,9,2,7,2,,,,31,,37.09,,,214518,,59173,46119,36,36712,,,1027682,167000,510116,413500,350600,100859,46109,33668,,22508,7639,96989,103800,293998,632591,973073,,,,,6021,959,36,106439,,12979,17614,166950,93,894971,2063441,2063400,231754,,97,23,1752,,28664,17224,1538,1103,,,6,139,,,,,,,,
2016,贵州省,安顺市,平坝区,520403,999,9,2,7,2,,,,33,,37.29,,,218841,,60412,47692,36,35701,,,1147500,187000,547000,436300,413500,116429,50329,36650,,24511,8429,108999,98400,284188,732412,1086910,,,,,6251,304,36,108449,,13277,17132,194021,88,1387336,2517341,2517300,262461,,94,22,1795,,29845,16604,1512,1295,,,9,400,,,,,,,,
2017,贵州省,安顺市,平坝区,520403,999,9,2,7,2,,,,34,,37.46,,,217553,,50000,66414,38,35400,,,1311100,190800,652600,523600,467700,119885,47544,41139,,26791,9314,118886,98514,394989,770479,1332273,,,,,6318,497,,,,13393,,200443,93,,,,293694,,92,22,1914,,31004,18574,1687,1096,,,9,538,,,,,,,,
2018,贵州省,安顺市,平坝区,520403,999,9,2,7,2,,,,34,,38.176,,,207546,,47544,68875,,34900,,,1373200,201300,618900,499800,553000,,,42291,,29247,10236,115875,,383697,915063,1546700,,,,,,205,,,,13409,,211239,98,,,,,,86,20,1906,,31816,20830,,1324,,,9,580,,,,,,,,
2019,贵州省,安顺市,平坝区,520403,999,9,2,7,2,,,,34,,38.832,,,198123,,48637,71149,,5700,,,1364800,216900,611900,500500,536000,,,41617,,31967,11345,103000,,449000,851025,1666000,,,,,,469,,,,7969,,228106,89,,,,,,84,21,1940,,33115,20940,,1585,,,9,616,,,,,,,,
2020,贵州省,安顺市,平坝区,520403,999,9,2,7,2,,,,35,,38.59,,,196400,,,,,5871,,,1357000,239100,535800,412200,582100,,,39220,,33597,12241,103900,,407800,816984,1976500,,,,,,480,,,,9128,,251100,87,,,,,,82,21,1996,,35521,20684,,1656,,,10,540,,,,,,,,
2021,贵州省,安顺市,平坝区,520403,987,9,2,7,2,,,,35,,37.9,,,197570,,,,,6823,,,1456500,257100,551600,430600,647800,,,42045,,36755,13490,100253,,363495,965642,2118588,,,,,,521,,,,10282,,271000,99,,,,,,82,21,2069,,36608,20985,,1895,,,10,700,,,,,,,,
2022,贵州省,安顺市,平坝区,520403,987,9,2,7,2,,,,34,,38,,,,,,,,7505,,,1444596,267046,510026,,667524,,,42172,,38262,14353,81921,,323152,1311815,2274156,,,,,,121,,,,11191,,282100,117,,,,,,82,19,2088,,35758,20960,,2236,,,5,415,,,,,,,,
2023,贵州省,安顺市,平坝区,520403,987,9,2,7,2,,,,,,39,,,,,,,,7612,,,1482400,269400,525600,,687400,,,,,,,116200,,365800,,2530237,,,,,,129,,,,13415,,,124,,,,,,,,,,36074,22281,,2286,,,4,335,,,,,,,,
2000,贵州省,安顺市,普定县,520422,1085,11,,,,295,90762,82042,40,37,40,11038,,193973,150083,,,7,7615,,,76005,26555,31075,,18375,,,1881,,,1285,4868,,10725,14483,85699,,,,16950,,,7,112893,,12414,10673,39300,12,51716,10272,11846,13400,0,215,15,1889,,55456,13233,,467,,,9,126,,,,,,,,
2001,贵州省,安顺市,普定县,520422,1085,11,,,,295,91352,82874,40,37,40,11119,,201401,156161,,,7,10149,,,81923,26500,34193,,21230,,,2041,,,1304,5523,,15668,18690,132617,,,,16870,,,7,115260,,10005,10949,39800,15,73378,9725,12010,15000,0.07,191,15,1938,,56959,17735,,530,,,9,126,,,,,,,,
2002,贵州省,安顺市,普定县,520422,1091,11,,,,317,96444,86955,40,37.3,40.3,11385,10700,203016,151415,,,7.8,13469,,,102832,21998,57969,,22865,,,2536,11650,,1345,6588,,18423,25206,216278,,,,16533,,,7.8,77579,,8635,11584,34900,14,94227,6175,17554,17049,0.06,189,15,2098,,57553,19309,,467,,,10,130,,,,,,,,
2003,贵州省,安顺市,普定县,520422,1091,10,,,,317,99701,90066,40,38,40,11977,12000,209565,141269,,,9,20015,,,118529,25789,68614,,24126,,,2896,12708,,1418,7505,,19468,29314,179937,,,,16499,,,9,111085,,8311,12308,40200,13,153413,6930,21240,19300,0.22,191,15,2145,,57311,21923,,416,,,10,130,,,,,,,,
